BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;16;8;552;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;16;59;2384;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;16;256;9780;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;16;747;40288;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;16;5793;163220;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;16;46289;655500;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;16;369685;2628352;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;16;33;552;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;16;59;2384;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;16;78;9780;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;16;303;40288;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;16;1951;163220;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;16;14900;655500;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;16;115475;2628352;
