BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;80;7680;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;137;13016;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;255;27344;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;498;53520;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;959;92648;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;1840;67036;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;3604;61952;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;43;7680;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;72;13016;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;132;27344;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;255;53520;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;487;92648;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;927;67036;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;1808;61952;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;22;7680;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;37;13016;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;68;27344;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;130;53520;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;248;92648;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;477;67036;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;912;61952;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;12;7680;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;20;13016;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;37;27344;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;71;53520;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;136;92648;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;250;67036;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;485;61952;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;56;7680;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;140;13016;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;211;27344;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;44;53520;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;347;92648;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;227;67036;
OpenMP Loop;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;442;61952;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;4;7680;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;9;13016;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;32;27344;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;113;53520;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;342;92648;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;739;67036;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;1522;61952;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;5;7680;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;11;13016;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;28;27344;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;82;53520;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;208;92648;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;412;67036;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;802;61952;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;4;7680;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;7;13016;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;18;27344;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;47;53520;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;113;92648;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;212;67036;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;403;61952;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;5;7680;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;6;13016;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;13;27344;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;29;53519;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;65;92648;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;117;67036;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;215;61952;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;54;7680;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;41;13010;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;29;27328;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;106;53520;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;78;92645;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;123;67034;
Octree;/home/training/dd-19-32-21/projekt2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;174;61944;
